id,name,height,date_of_birth
nm0000447,Marilu Henner,170,1952-04-06
nm0048260,Betsy Baker,,1955-05-08
nm0000448,Lance Henriksen,179,1940-05-05
nm0049033,Nick Baker-Monteys,,
nm0049235,Mohammad Bakri,200,1953-11-27
nm0000458,William Hurt,188,1950-03-20
nm0049395,Nandamuri Balakrishna,200,1960-06-10
nm0000459,Timothy Hutton,183,1960-08-16
nm0049623,Dave Bald Eagle,,1919-04-08
nm0000460,Jeremy Irons,187,1948-09-19
nm0050959,Pedro Pascal,200,1975-04-02
nm0000461,Michael Ironside,179,1950-02-12
nm0051397,Jamie Bamber,200,1973-04-03
nm0000463,Famke Janssen,182,1964-11-05
nm0051903,Claes Bang,200,1967-04-28
nm0000465,Ron Jeremy,171,1953-03-12
nm0051930,Vivian Bang,200,1973-10-23
nm0000467,Don Johnson,175,1949-12-15
nm0052186,Jonathan Banks,200,1947-01-31
nm0000473,Diane Keaton,169,1946-01-05
nm0052600,Radu Bânzaru,200,1968-04-26
nm0053443,Nigel Barber,200,
nm0000476,Sally Kirkland,175,1941-10-31
nm0053556,Ken Barbet,,
nm0000483,Christopher Lambert,181,1957-03-29
nm0056048,Drew Barnhardt,,
nm0000487,Ang Lee,170,1954-10-23
nm0056651,Gabriel Barragan Senties,,
nm0057842,Olivier Baroux,,1964-01-05
nm0000492,Jennifer Jason Leigh,160,1962-02-05
nm0058401,Sharunas Bartas,,1964-08-16
nm0000496,Juliette Lewis,168,1973-06-21
nm0059277,Todd Bartoo,,
nm0000499,Bai Ling,160,1966-10-10
nm0060544,Ali Bastian,200,1982
nm0000500,Richard Linklater,175,1960-07-30
nm0063769,Charlie Bean,,
nm0000501,Ray Liotta,183,1954-12-18
nm0065007,Demián Bichir,200,1963-08-01
nm0000502,Christopher Lloyd,185,1938-10-22
nm0065638,Michael Raso,200,1964-04-20
nm0000504,Amy Locane,168,1971-12-19
nm0066763,Bibiana Beglau,200,1971-07-16
nm0000505,Nia Long,157,1970-10-30
nm0067457,Timur Bekmambetov,200,1961-06-25
nm0000507,Rob Lowe,178,1964-03-17
nm0068042,Ashley Bell,200,
nm0000510,Andie MacDowell,173,1958-04-21
nm0068187,Emma Bell,200,1986-12-17
nm0000511,Shirley MacLaine,170,1934-04-24
nm0070589,Niclas Bendixen,,
nm0000513,William H. Macy,173,1950-03-13
nm0070685,Arianne Benedetti,,
nm0000514,Michael Madsen,188,1957-09-25
nm0071330,Marc Benjamin,200,1986-04-15
nm0000517,Terrence Malick,170,1943-11-30
nm0072556,Laura Benson,,
nm0000518,John Malkovich,183,1953-12-09
nm0072713,Lyriq Bent,200,
nm0000522,Vanessa Marcil,163,1968-10-15
nm0072829,John Eric Bentley,200,1969-08-31
nm0000524,Mary Stuart Masterson,163,1966-06-28
