movie_id,avg_rating,total_votes
tt10364402,5.2,118
tt10370116,9.1,943
tt10370402,7.1,171
tt10370434,9.7,133
tt10370932,8.1,919
tt10375682,7.2,318
tt10378798,4.6,586
tt10380266,9.1,593
tt10381126,5.3,223
tt10384108,7.3,120
tt10384744,7.8,1390
tt10392792,4.6,115
tt10394822,7.7,115
tt10405902,9.4,533
tt10407272,6.8,550
tt10409590,6.3,298
tt10410520,4.4,113
tt10411954,5.8,103
tt10419266,8.1,260
tt10431010,7.3,514
tt10431500,8.3,1922
tt10438658,6.2,214
tt10443252,5,137
tt10443808,7.3,956
tt10444252,7.1,132
tt10452466,7.6,722
tt10495746,8.2,385
tt10495912,7.5,367
tt10497826,6.7,205
tt10498810,2.9,902
tt10503934,7.6,155
tt10504752,6.4,177
tt10504928,3.2,141
tt10510654,5.4,148
tt10514532,2.8,103
tt10515086,8.8,3819
tt10515340,6.1,515
tt10518924,7.2,235
tt10519182,4.7,1367
tt10521814,6.6,1672
tt10540024,6.7,347
tt10545040,5.8,105
tt10545470,6.8,147
tt10545484,8.3,1793
tt10550884,6.2,794
tt10551118,4.6,371
tt10551420,7,118
tt10551450,5.8,100
tt10551608,8.2,1483
tt10556036,7.9,584
tt10579992,6.7,391
tt10581102,4.1,379
tt10585038,3.7,130
tt10589914,6.4,561
tt10592082,7.6,103
tt10592506,7.2,120
tt10602172,7.3,102
tt10604464,3.1,132
tt10608842,4.2,161
tt10622790,6.4,259
tt10623524,7.7,440
tt10627720,7.7,2245
tt10643938,7.4,102
tt10648440,7.1,1268
tt10651188,5.1,162
tt10656188,7.4,187
tt10656240,7.6,231
tt10658960,2.9,145
tt10659288,3,129
tt10671436,7.2,476
tt10675136,4.7,744
tt10675966,7.7,372
tt10676902,7,422
tt10682000,6.6,795
tt10687168,5.2,151
tt10695638,5.6,390
tt10696882,5.3,191
tt10702760,8.7,259
tt10709404,6.2,464
tt10711648,7.1,1168
tt10715194,5.3,684
tt10715974,9,180
tt10726604,6,161
tt10726756,7.1,289
tt1072748,5.4,25988
tt10731866,7.5,133
tt10734928,7.2,208
tt10738914,3.6,413
tt10763618,7.2,360
tt10763826,7.8,427
tt10764458,3.2,171
tt10765852,8.8,833
tt10767168,7.1,145
tt10767426,6.8,215
tt10768678,7.5,313
tt10783920,4.4,110
tt10800758,5.3,111
tt10805432,7.6,747
tt10815982,9,115
tt10816510,7.9,821
tt1082807,6.1,39833
tt10834986,7.8,342
tt10860558,4.4,132
tt10864024,5.4,147
tt10867504,9.6,1010
tt10869474,9.5,1017
tt10883272,5,142
tt10883506,8.1,132
tt10885124,6.5,111
tt10895780,7.5,312
tt10895830,5.8,153
tt10901588,9.5,617
tt10914342,10,587
tt10927122,3.6,233
tt10944714,5.4,201
tt10958282,6.4,629
tt10975452,8.8,376
tt10984586,7.7,187
tt11006522,7.5,232
tt11020466,6.1,150
tt11027104,4.3,124
tt11041136,8.5,143
